user_id,age_group,gender,country,annual_income_range,preferred_device,primary_traffic_source,registration_date,is_premium_user
1,35-44,Male,Netherlands,25k-40k,Mobile,social_media,2024-06-21,False
2,25-34,Female,Canada,30k-50k,Desktop,organic_search,2024-06-15,False
3,65+,Male,US,30k-50k,Mobile,social_media,2024-09-19,False
4,35-44,Male,Canada,<30k,Desktop,direct,2024-07-10,False
5,35-44,Male,Netherlands,25k-40k,Mixed,social_media,2024-07-11,False
6,18-24,Female,Israel,60k-80k,Desktop,paid_search,2024-07-03,False
7,25-34,Male,US,30k-50k,Mobile,referral,2024-10-09,False
8,25-34,Male,Canada,50k-75k,Mobile,organic_search,2024-10-12,False
9,25-34,Female,UK,50k-75k,Mobile,paid_search,2024-11-12,False
10,25-34,Female,Netherlands,40k-60k,Desktop,organic_search,2024-06-02,False
11,25-34,Female,UK,30k-50k,Desktop,social_media,2024-08-07,False
12,25-34,Female,US,30k-50k,Mobile,social_media,2024-11-11,False
13,25-34,Female,Canada,50k-75k,Tablet,email_campaign,2024-07-30,False
14,35-44,Male,Israel,25k-40k,Mixed,organic_search,2024-09-07,False
15,35-44,Male,Israel,60k-80k,Desktop,direct,2024-09-21,False
16,25-34,Female,US,<30k,Desktop,social_media,2024-09-01,False
17,18-24,Female,UK,<30k,Mobile,organic_search,2024-10-06,False
18,25-34,Female,UK,30k-50k,Mobile,social_media,2024-06-22,False
19,45-54,Male,Canada,50k-75k,Mobile,email_campaign,2024-06-30,False
20,35-44,Male,UK,75k-100k,Mobile,social_media,2024-07-19,False
21,35-44,Female,US,<30k,Mobile,organic_search,2024-06-24,False
22,45-54,Male,US,100k+,Desktop,paid_search,2024-11-08,False
23,25-34,Male,Germany,25k-40k,Mobile,paid_search,2024-10-05,True
24,35-44,Male,France,40k-60k,Desktop,email_campaign,2024-10-31,False
25,25-34,Female,France,25k-40k,Tablet,direct,2024-10-21,False
26,35-44,Male,Canada,50k-75k,Desktop,organic_search,2024-11-27,False
